,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
75,Federico Marchetti,GK,Genoa,it Serie A,37.0,4.0,4.0,334.0,3.7,11.0,2.96,19.0,8.0,42.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.42,-3.0,-0.8,13.0,34.0,38.2,27.0,0.0,0.0,3.0,0.81,13.6,220000.0,genoa cfc
76,Emiliano Martínez,GK,Aston Villa,eng Premier League,27.0,38.0,38.0,3420.0,38.0,46.0,1.21,177.0,135.0,76.8,16.0,7.0,15.0,15.0,39.5,5.0,2.0,4.0,1.0,52.4,0.27,7.4,0.2,289.0,728.0,39.7,393.0,33.0,8.4,21.0,0.55,13.1,33000000.0,arsenal fc
77,Jordi Masip,GK,Valladolid,es La Liga,31.0,25.0,25.0,2250.0,25.0,40.0,1.6,112.0,74.0,67.9,4.0,9.0,12.0,2.0,8.0,4.0,1.0,3.0,0.0,40.1,0.32,0.1,0.0,177.0,555.0,31.9,263.0,14.0,5.3,13.0,0.52,13.7,2200000.0,real valladolid cf
78,Alex McCarthy,GK,Southampton,eng Premier League,30.0,30.0,30.0,2700.0,30.0,57.0,1.9,141.0,90.0,63.8,8.0,7.0,15.0,7.0,23.3,6.0,1.0,4.0,1.0,47.9,0.31,-8.1,-0.27,155.0,525.0,29.5,239.0,22.0,9.2,20.0,0.67,15.1,5500000.0,southampton fc
79,Alex Meret,GK,Napoli,it Serie A,23.0,22.0,22.0,1980.0,22.0,29.0,1.32,79.0,53.0,65.8,13.0,5.0,4.0,6.0,27.3,2.0,1.0,3.0,1.0,22.8,0.28,-5.2,-0.23,63.0,117.0,53.8,149.0,15.0,10.1,6.0,0.27,13.0,22000000.0,ssc napoli
80,Illan Meslier,GK,Leeds United,eng Premier League,20.0,35.0,35.0,3150.0,35.0,52.0,1.49,177.0,134.0,75.1,16.0,5.0,14.0,11.0,31.4,8.0,1.0,11.0,2.0,55.3,0.27,5.3,0.15,181.0,409.0,44.3,198.0,21.0,10.6,20.0,0.57,13.6,22000000.0,leeds united
81,Vanja Milinković-Savić,GK,Torino,it Serie A,23.0,5.0,5.0,450.0,5.0,6.0,1.2,19.0,14.0,73.7,2.0,2.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,4.7,0.2,-1.3,-0.26,23.0,77.0,29.9,34.0,2.0,5.9,5.0,1.0,14.3,880000.0,torino fc
82,Antonio Mirante,GK,Roma,it Serie A,37.0,13.0,13.0,1153.0,12.8,19.0,1.48,54.0,36.0,68.5,6.0,3.0,4.0,5.0,38.5,2.0,1.0,0.0,0.0,15.9,0.25,-3.1,-0.24,70.0,149.0,47.0,112.0,2.0,1.8,15.0,1.17,15.8,1100000.0,as roma
83,Lorenzo Montipò,GK,Benevento,it Serie A,24.0,37.0,37.0,3330.0,37.0,74.0,2.0,170.0,104.0,58.8,7.0,11.0,19.0,7.0,18.9,4.0,0.0,11.0,6.0,64.4,0.36,-3.6,-0.1,249.0,668.0,37.3,375.0,36.0,9.6,21.0,0.57,14.7,3850000.0,benevento calcio
84,Jessy Moulin,GK,Saint-Étienne,fr Ligue 1,34.0,29.0,29.0,2610.0,29.0,42.0,1.45,100.0,61.0,62.0,8.0,9.0,12.0,9.0,31.0,4.0,3.0,6.0,2.0,38.1,0.34,-1.9,-0.06,140.0,370.0,37.8,220.0,13.0,5.9,9.0,0.31,13.5,660000.0,as saint etienne
85,Florian Müller,GK,Freiburg,de Bundesliga,22.0,31.0,31.0,2790.0,31.0,46.0,1.48,152.0,110.0,71.1,11.0,8.0,12.0,6.0,19.4,2.0,2.0,3.0,2.0,47.1,0.3,3.1,0.1,189.0,587.0,32.2,245.0,12.0,4.9,23.0,0.74,15.1,8800000.0,sc freiburg
86,Juan Musso,GK,Udinese,it Serie A,26.0,35.0,35.0,3147.0,35.0,51.0,1.46,140.0,102.0,72.9,9.0,10.0,16.0,8.0,22.9,13.0,2.0,2.0,0.0,53.7,0.31,2.7,0.08,185.0,419.0,44.2,292.0,28.0,9.6,15.0,0.43,12.9,22000000.0,udinese calcio
87,Paul Nardi,GK,Lorient,fr Ligue 1,26.0,23.0,23.0,2070.0,23.0,44.0,1.91,108.0,69.0,63.0,6.0,4.0,13.0,3.0,13.0,4.0,0.0,3.0,0.0,31.5,0.27,-11.5,-0.5,116.0,355.0,32.7,180.0,9.0,5.0,14.0,0.61,14.9,1980000.0,fc lorient
88,Keylor Navas,GK,Paris S-G,fr Ligue 1,33.0,29.0,29.0,2520.0,28.0,18.0,0.64,89.0,71.0,80.9,21.0,3.0,5.0,15.0,51.7,1.0,0.0,3.0,0.0,22.0,0.23,4.0,0.14,105.0,190.0,55.3,202.0,7.0,3.5,12.0,0.43,13.1,13200000.0,paris saint germain
89,Manuel Neuer,GK,Bayern Munich,de Bundesliga,34.0,33.0,33.0,2970.0,33.0,42.0,1.27,126.0,83.0,67.5,24.0,5.0,4.0,9.0,27.3,1.0,0.0,5.0,0.0,44.2,0.34,2.2,0.07,239.0,391.0,61.1,228.0,6.0,2.6,42.0,1.27,16.5,19800000.0,bayern munich
90,Will Norris,GK,Burnley,eng Premier League,26.0,2.0,2.0,180.0,2.0,4.0,2.0,6.0,2.0,33.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,0.19,-2.9,-1.44,21.0,50.0,42.0,18.0,1.0,5.6,1.0,0.5,15.1,440000.0,burnley fc
91,Alexander Nübel,GK,Bayern Munich,de Bundesliga,23.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9,0.47,-0.1,-0.11,1.0,3.0,33.3,10.0,0.0,0.0,0.0,0.0,9.5,6600000.0,bayern munich
92,Jan Oblak,GK,Atlético Madrid,es La Liga,27.0,38.0,38.0,3420.0,38.0,25.0,0.66,120.0,97.0,80.0,26.0,8.0,4.0,18.0,47.4,1.0,0.0,6.0,3.0,31.8,0.25,9.8,0.26,269.0,620.0,43.4,327.0,19.0,5.8,18.0,0.47,15.3,77000000.0,atletico de madrid
93,Robin Olsen,GK,Everton,eng Premier League,30.0,7.0,7.0,630.0,7.0,9.0,1.29,27.0,18.0,70.4,2.0,3.0,2.0,2.0,28.6,1.0,0.0,0.0,0.0,9.5,0.33,0.5,0.08,50.0,104.0,48.1,51.0,4.0,7.8,1.0,0.14,11.0,3300000.0,everton fc
94,Jonas Omlin,GK,Montpellier,fr Ligue 1,26.0,31.0,31.0,2673.0,29.7,51.0,1.72,147.0,107.0,72.8,10.0,10.0,11.0,2.0,6.5,11.0,0.0,5.0,2.0,51.2,0.29,2.2,0.08,234.0,505.0,46.3,266.0,24.0,9.0,14.0,0.47,13.8,8800000.0,montpellier hsc
95,Stefan Ortega,GK,Arminia,de Bundesliga,27.0,34.0,34.0,3060.0,34.0,52.0,1.53,166.0,119.0,71.7,9.0,8.0,17.0,11.0,32.4,5.0,0.0,6.0,1.0,52.1,0.29,1.1,0.03,488.0,1038.0,47.0,338.0,28.0,8.3,34.0,1.0,15.3,6600000.0,arminia bielefeld
96,David Ospina,GK,Napoli,it Serie A,31.0,16.0,16.0,1440.0,16.0,12.0,0.75,39.0,30.0,76.9,11.0,0.0,5.0,8.0,50.0,3.0,0.0,0.0,0.0,13.2,0.27,1.2,0.07,73.0,155.0,47.1,117.0,11.0,9.4,12.0,0.75,15.4,5500000.0,ssc napoli
97,Alexandre Oukidja,GK,Metz,fr Ligue 1,32.0,34.0,34.0,3058.0,34.0,39.0,1.15,117.0,87.0,74.4,12.0,10.0,12.0,8.0,23.5,9.0,0.0,5.0,1.0,40.5,0.27,3.5,0.1,265.0,601.0,44.1,322.0,38.0,11.8,37.0,1.09,16.7,2750000.0,fc metz
98,Fernando Pacheco,GK,Alavés,es La Liga,28.0,38.0,37.0,3349.0,37.2,57.0,1.53,142.0,86.0,62.0,9.0,11.0,17.0,9.0,24.3,3.0,0.0,6.0,0.0,54.9,0.38,-2.1,-0.06,329.0,642.0,51.2,330.0,31.0,9.4,23.0,0.62,14.8,8800000.0,deportivo alaves
99,Alberto Paleari,GK,Genoa,it Serie A,27.0,3.0,2.0,206.0,2.3,3.0,1.31,12.0,8.0,75.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,3.9,0.34,0.9,0.37,9.0,36.0,25.0,24.0,0.0,0.0,0.0,0.0,9.5,1100000.0,genoa cfc
100,Ivor Pandur,GK,Hellas Verona,it Serie A,20.0,4.0,4.0,332.0,3.7,6.0,1.63,13.0,7.0,53.8,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.3,0.41,-0.7,-0.2,13.0,60.0,21.7,26.0,1.0,3.8,2.0,0.54,16.8,1100000.0,hellas verona
101,Rui Patrício,GK,Wolves,eng Premier League,32.0,37.0,37.0,3329.0,37.0,51.0,1.38,140.0,96.0,68.6,12.0,9.0,16.0,10.0,27.0,7.0,1.0,9.0,3.0,44.6,0.28,-3.4,-0.09,205.0,453.0,45.3,374.0,22.0,5.9,6.0,0.16,11.5,11000000.0,wolverhampton wanderers
102,Bailey Peacock-Farrell,GK,Burnley,eng Premier League,23.0,4.0,4.0,360.0,4.0,14.0,3.5,25.0,11.0,44.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,9.5,0.38,-4.5,-1.14,41.0,94.0,43.6,36.0,0.0,0.0,3.0,0.75,15.4,1100000.0,burnley fc
103,Gianluca Pegolo,GK,Sassuolo,it Serie A,39.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,14.5,110000.0,us sassuolo
104,Yohann Pelé,GK,Marseille,fr Ligue 1,37.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.47,0.4,0.35,0.0,0.0,0.0,8.0,1.0,12.5,1.0,1.0,13.0,275000.0,olympique marseille
105,Philipp Pentke,GK,Hoffenheim,de Bundesliga,35.0,3.0,3.0,270.0,3.0,3.0,1.0,13.0,10.0,76.9,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.38,2.0,0.66,12.0,25.0,48.0,10.0,0.0,0.0,1.0,0.33,16.8,330000.0,tsg 1899 hoffenheim
106,Juan Pérez,GK,Osasuna,es La Liga,24.0,3.0,3.0,270.0,3.0,3.0,1.0,7.0,4.0,71.4,1.0,1.0,1.0,1.0,33.3,1.0,0.0,0.0,0.0,2.6,0.25,-0.4,-0.12,23.0,60.0,38.3,35.0,0.0,0.0,1.0,0.33,14.3,660000.0,ca osasuna
107,Mattia Perin,GK,Genoa,it Serie A,27.0,32.0,32.0,2879.0,32.0,44.0,1.38,151.0,113.0,75.5,9.0,11.0,12.0,8.0,25.0,7.0,0.0,6.0,2.0,47.2,0.28,5.2,0.16,233.0,624.0,37.3,342.0,17.0,5.0,9.0,0.28,12.4,7700000.0,genoa cfc
108,Pavao Pervan,GK,Wolfsburg,de Bundesliga,32.0,2.0,2.0,180.0,2.0,4.0,2.0,14.0,9.0,71.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.7,0.34,0.7,0.35,15.0,32.0,46.9,20.0,2.0,10.0,0.0,0.0,11.8,660000.0,vfl wolfsburg
109,Jordan Pickford,GK,Everton,eng Premier League,26.0,31.0,31.0,2742.0,30.5,39.0,1.28,128.0,90.0,71.1,15.0,5.0,11.0,10.0,32.3,2.0,1.0,5.0,1.0,38.7,0.29,0.7,0.02,275.0,650.0,42.3,295.0,24.0,8.1,19.0,0.62,14.7,24200000.0,everton fc
110,Carlo Pinsoglio,GK,Juventus,it Serie A,30.0,1.0,0.0,23.0,0.3,1.0,3.91,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.0,0.16,1.0,2.0,50.0,1.0,0.0,0.0,1.0,3.91,31.0,440000.0,juventus fc
111,Nick Pope,GK,Burnley,eng Premier League,28.0,32.0,32.0,2880.0,32.0,37.0,1.16,148.0,114.0,77.0,10.0,9.0,13.0,11.0,34.4,3.0,0.0,7.0,1.0,40.9,0.26,4.9,0.15,292.0,757.0,38.6,325.0,42.0,12.9,41.0,1.28,16.5,16500000.0,burnley fc
112,Ivan Provedel,GK,Spezia,it Serie A,26.0,29.0,29.0,2610.0,29.0,55.0,1.9,124.0,74.0,60.5,6.0,10.0,13.0,4.0,13.8,6.0,1.0,5.0,0.0,49.1,0.35,-5.9,-0.2,280.0,617.0,45.4,199.0,19.0,9.5,29.0,1.0,16.3,2750000.0,spezia calcio
113,Anthony Racioppi,GK,Dijon,fr Ligue 1,21.0,21.0,21.0,1890.0,21.0,33.0,1.57,93.0,62.0,67.7,2.0,6.0,13.0,3.0,14.3,3.0,0.0,5.0,0.0,35.3,0.36,2.3,0.11,113.0,324.0,34.9,199.0,13.0,6.5,10.0,0.48,14.4,1650000.0,olympique lyon
114,Rafael,GK,Spezia,it Serie A,38.0,3.0,2.0,207.0,2.3,5.0,2.17,19.0,14.0,73.7,0.0,1.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,4.0,0.21,-1.0,-0.44,17.0,42.0,40.5,31.0,1.0,3.2,0.0,0.0,9.6,220000.0,spezia calcio
115,Aaron Ramsdale,GK,Sheffield Utd,eng Premier League,22.0,38.0,38.0,3420.0,38.0,63.0,1.66,205.0,145.0,70.7,7.0,2.0,29.0,5.0,13.2,3.0,0.0,8.0,3.0,61.9,0.29,1.9,0.05,290.0,859.0,33.8,336.0,32.0,9.5,22.0,0.58,15.3,13200000.0,sheffield united
116,Darren Randolph,GK,West Ham,eng Premier League,33.0,3.0,3.0,270.0,3.0,3.0,1.0,9.0,6.0,66.7,2.0,0.0,1.0,1.0,33.3,0.0,0.0,3.0,0.0,3.6,0.4,0.6,0.21,13.0,43.0,30.2,32.0,0.0,0.0,1.0,0.33,12.2,1650000.0,west ham united
117,Federico Ravaglia,GK,Bologna,it Serie A,20.0,4.0,4.0,360.0,4.0,10.0,2.5,18.0,9.0,50.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,7.7,0.4,-1.3,-0.33,10.0,28.0,35.7,21.0,1.0,4.8,5.0,1.25,16.5,220000.0,bologna fc 1909
118,Pepe Reina,GK,Lazio,it Serie A,37.0,29.0,29.0,2610.0,29.0,41.0,1.41,107.0,75.0,69.2,18.0,3.0,8.0,9.0,31.0,8.0,0.0,7.0,2.0,36.3,0.28,-2.7,-0.09,196.0,383.0,51.2,218.0,11.0,5.0,12.0,0.41,15.3,880000.0,ss lazio
119,Álex Remiro,GK,Real Sociedad,es La Liga,25.0,38.0,38.0,3420.0,38.0,38.0,1.0,100.0,66.0,65.0,17.0,11.0,10.0,14.0,36.8,3.0,0.0,5.0,1.0,32.4,0.3,-4.6,-0.12,232.0,561.0,41.4,291.0,17.0,5.8,26.0,0.68,15.7,22000000.0,real sociedad
120,Baptiste Reynet,GK,Nîmes,fr Ligue 1,29.0,38.0,38.0,3420.0,38.0,71.0,1.87,192.0,125.0,66.1,9.0,8.0,21.0,8.0,21.1,6.0,1.0,7.0,0.0,63.8,0.29,-7.2,-0.19,298.0,800.0,37.3,362.0,19.0,5.2,27.0,0.71,14.5,2200000.0,nimes olympique
121,Sergio Rico,GK,Paris S-G,fr Ligue 1,26.0,10.0,8.0,810.0,9.0,9.0,1.0,36.0,28.0,75.0,5.0,1.0,2.0,5.0,62.5,0.0,0.0,0.0,1.0,9.9,0.28,1.9,0.21,10.0,27.0,37.0,58.0,3.0,5.2,5.0,0.56,14.1,7700000.0,paris saint germain
122,Roberto,GK,Valladolid,es La Liga,34.0,13.0,13.0,1170.0,13.0,17.0,1.31,43.0,28.0,65.1,1.0,7.0,5.0,1.0,7.7,2.0,0.0,2.0,0.0,15.6,0.33,-1.4,-0.11,90.0,296.0,30.4,129.0,10.0,7.8,7.0,0.54,13.3,770000.0,real valladolid cf
123,Joel Robles,GK,Betis,es La Liga,30.0,18.0,18.0,1620.0,18.0,25.0,1.39,56.0,37.0,62.5,9.0,2.0,7.0,6.0,33.3,4.0,1.0,5.0,2.0,21.5,0.31,-1.5,-0.08,99.0,301.0,32.9,145.0,10.0,6.9,14.0,0.78,16.3,4400000.0,real betis balompie
124,John Ruddy,GK,Wolves,eng Premier League,33.0,2.0,1.0,91.0,1.0,1.0,0.99,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,0.28,0.1,0.13,1.0,6.0,16.7,9.0,0.0,0.0,0.0,0.0,10.4,880000.0,wolverhampton wanderers
125,Gerónimo Rulli,GK,Villarreal,es La Liga,28.0,2.0,2.0,180.0,2.0,4.0,2.0,8.0,4.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.35,-1.2,-0.62,15.0,32.0,46.9,23.0,0.0,0.0,0.0,0.0,13.1,4400000.0,villarreal cf
126,Mathew Ryan,GK,Brighton,eng Premier League,28.0,11.0,11.0,990.0,11.0,19.0,1.73,30.0,16.0,50.0,2.0,4.0,5.0,2.0,18.2,4.0,0.0,3.0,1.0,14.8,0.37,-3.2,-0.29,57.0,141.0,40.4,103.0,7.0,6.8,6.0,0.55,14.4,6600000.0,arsenal fc
127,Romain Salin,GK,Rennes,fr Ligue 1,36.0,15.0,15.0,1350.0,15.0,14.0,0.93,54.0,40.0,74.1,9.0,4.0,2.0,5.0,33.3,0.0,0.0,4.0,0.0,15.2,0.28,1.2,0.08,99.0,227.0,43.6,113.0,9.0,8.0,29.0,1.93,18.0,550000.0,stade rennais fc
128,Robert Sánchez,GK,Brighton,eng Premier League,22.0,27.0,27.0,2430.0,27.0,27.0,1.0,87.0,63.0,71.3,7.0,10.0,10.0,10.0,37.0,2.0,0.0,6.0,1.0,30.8,0.34,4.8,0.18,182.0,472.0,38.6,210.0,11.0,5.2,14.0,0.52,14.4,8800000.0,brighton amp hove albion
129,Kasper Schmeichel,GK,Leicester City,eng Premier League,33.0,38.0,38.0,3420.0,38.0,50.0,1.32,134.0,87.0,65.7,20.0,6.0,12.0,11.0,28.9,4.0,0.0,9.0,2.0,48.5,0.34,0.5,0.01,226.0,533.0,42.4,297.0,24.0,8.1,14.0,0.37,13.0,6600000.0,leicester city
130,Simone Scuffet,GK,Udinese,it Serie A,24.0,1.0,1.0,90.0,1.0,2.0,2.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6,0.23,-0.4,-0.43,13.0,21.0,61.9,10.0,0.0,0.0,0.0,0.0,10.0,880000.0,udinese calcio
131,Matz Sels,GK,Strasbourg,fr Ligue 1,28.0,6.0,6.0,540.0,6.0,13.0,2.17,25.0,14.0,56.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,10.0,0.34,-3.0,-0.5,47.0,111.0,42.3,54.0,6.0,11.1,1.0,0.17,11.4,7150000.0,rc strasbourg alsace
132,Luigi Sepe,GK,Parma,it Serie A,29.0,36.0,36.0,3240.0,36.0,76.0,2.11,177.0,103.0,58.2,3.0,11.0,22.0,5.0,13.9,2.0,0.0,9.0,3.0,60.8,0.34,-12.2,-0.34,351.0,637.0,55.1,416.0,25.0,6.0,11.0,0.31,12.8,3850000.0,parma calcio 1913
133,Marco Silvestri,GK,Hellas Verona,it Serie A,29.0,34.0,34.0,3060.0,34.0,42.0,1.24,125.0,89.0,71.2,11.0,9.0,14.0,7.0,20.6,6.0,1.0,7.0,2.0,37.5,0.26,-2.5,-0.07,212.0,746.0,28.4,288.0,10.0,3.5,13.0,0.38,13.1,9900000.0,hellas verona
134,Tobias Sippel,GK,M'Gladbach,de Bundesliga,32.0,4.0,3.0,344.0,3.8,6.0,1.57,19.0,12.0,68.4,1.0,1.0,1.0,1.0,33.3,0.0,0.0,2.0,0.0,7.1,0.37,1.1,0.29,37.0,86.0,43.0,56.0,3.0,5.4,4.0,1.05,16.0,440000.0,borussia monchengladbach
135,Salvatore Sirigu,GK,Torino,it Serie A,33.0,32.0,32.0,2880.0,32.0,62.0,1.94,129.0,75.0,58.1,5.0,13.0,14.0,7.0,21.9,8.0,1.0,7.0,1.0,46.9,0.31,-14.1,-0.44,198.0,478.0,41.4,301.0,18.0,6.0,16.0,0.5,12.8,2750000.0,torino fc
136,Antonio Sivera,GK,Alavés,es La Liga,23.0,1.0,1.0,71.0,0.8,0.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,4.0,16.0,25.0,7.0,1.0,14.3,0.0,0.0,10.2,990000.0,deportivo alaves
137,Yann Sommer,GK,M'Gladbach,de Bundesliga,31.0,31.0,31.0,2712.0,30.1,50.0,1.66,124.0,79.0,64.5,12.0,9.0,10.0,6.0,19.4,6.0,0.0,5.0,0.0,43.1,0.31,-6.9,-0.23,180.0,390.0,46.2,240.0,14.0,5.8,20.0,0.66,13.5,6600000.0,borussia monchengladbach
138,David Soria,GK,Getafe,es La Liga,27.0,28.0,28.0,2520.0,28.0,31.0,1.11,75.0,52.0,66.7,6.0,8.0,14.0,10.0,35.7,6.0,0.0,4.0,3.0,29.5,0.32,1.5,0.06,299.0,749.0,39.9,208.0,20.0,9.6,42.0,1.5,17.0,9900000.0,getafe cf
139,Zack Steffen,GK,Manchester City,eng Premier League,25.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.32,-0.4,-0.37,2.0,6.0,33.3,10.0,0.0,0.0,0.0,0.0,7.0,6600000.0,manchester city
140,Thomas Strakosha,GK,Lazio,it Serie A,25.0,9.0,9.0,810.0,9.0,14.0,1.56,37.0,24.0,67.6,3.0,2.0,4.0,3.0,33.3,2.0,0.0,1.0,0.0,13.2,0.31,-0.8,-0.09,55.0,107.0,51.4,77.0,7.0,9.1,1.0,0.11,11.9,15400000.0,ss lazio
141,Marc-André ter Stegen,GK,Barcelona,es La Liga,28.0,31.0,31.0,2790.0,31.0,32.0,1.03,102.0,75.0,71.6,21.0,5.0,5.0,11.0,35.5,3.0,1.0,4.0,2.0,29.0,0.27,-1.0,-0.03,138.0,241.0,57.3,174.0,19.0,10.9,22.0,0.71,17.1,66000000.0,fc barcelona
142,Pietro Terracciano,GK,Fiorentina,it Serie A,30.0,4.0,2.0,272.0,3.0,4.0,1.32,10.0,7.0,60.0,0.0,1.0,1.0,2.0,100.0,0.0,0.0,1.0,1.0,3.2,0.22,0.2,0.05,27.0,66.0,40.9,37.0,0.0,0.0,0.0,0.0,13.1,880000.0,acf fiorentina
143,Kevin Trapp,GK,Eint Frankfurt,de Bundesliga,30.0,33.0,33.0,2970.0,33.0,52.0,1.58,143.0,97.0,66.4,15.0,12.0,6.0,4.0,12.1,4.0,1.0,7.0,2.0,44.7,0.29,-5.3,-0.16,257.0,640.0,40.2,286.0,24.0,8.4,23.0,0.7,14.9,7150000.0,eintracht frankfurt
144,Samir Ujkani,GK,Torino,it Serie A,32.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,3.0,7.0,42.9,16.0,1.0,6.3,0.0,0.0,13.4,220000.0,torino fc
145,Koke Vegas,GK,Levante,es La Liga,24.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.64,0.6,0.56,2.0,11.0,18.2,7.0,0.0,0.0,1.0,1.0,18.8,550000.0,levante ud
146,Guglielmo Vicario,GK,Cagliari,it Serie A,23.0,4.0,4.0,360.0,4.0,6.0,1.5,21.0,15.0,71.4,3.0,0.0,1.0,1.0,25.0,0.0,0.0,2.0,0.0,5.0,0.24,-1.0,-0.25,27.0,61.0,44.3,40.0,2.0,5.0,0.0,0.0,10.5,2200000.0,cagliari calcio
147,João Virgínia,GK,Everton,eng Premier League,20.0,1.0,0.0,48.0,0.5,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.2,0.39,3.0,11.0,27.3,2.0,0.0,0.0,0.0,0.0,21.0,1100000.0,everton fc
148,Rubén Yáñez,GK,Getafe,es La Liga,26.0,10.0,10.0,900.0,10.0,12.0,1.2,30.0,19.0,63.3,3.0,3.0,4.0,4.0,40.0,1.0,0.0,0.0,0.0,11.6,0.35,-0.4,-0.04,89.0,203.0,43.8,72.0,5.0,6.9,7.0,0.7,15.2,2200000.0,getafe cf
149,Robin Zentner,GK,Mainz 05,de Bundesliga,25.0,31.0,31.0,2790.0,31.0,46.0,1.48,135.0,93.0,69.6,9.0,9.0,13.0,5.0,16.1,5.0,1.0,4.0,1.0,40.7,0.27,-4.3,-0.14,166.0,501.0,33.1,294.0,28.0,9.5,19.0,0.61,14.0,5500000.0,1 fsv mainz 05
150,Jeroen Zoet,GK,Spezia,it Serie A,29.0,7.0,7.0,603.0,6.7,12.0,1.79,26.0,17.0,65.4,3.0,1.0,3.0,1.0,14.3,3.0,0.0,2.0,0.0,11.6,0.34,-0.4,-0.06,56.0,128.0,43.8,60.0,6.0,10.0,8.0,1.19,15.1,2200000.0,spezia calcio
